dist	m1	ra	m2	iota	dec
4.317091620000000063e+01	4.964869348189525411e+00	2.300614100000000217e+00	3.951025153759570419e+00	7.479976000000000402e-01	-1.035751000000000033e-01
3.267514340000000317e+01	4.980237699729243239e+00	2.323683700000000130e+00	3.945963847295352878e+00	9.255860000000000198e-01	-1.044115999999999933e-01
3.692362419999999901e+01	5.880724926275641806e+00	2.247037300000000126e+00	3.355426968796819231e+00	6.352961000000000302e-01	-2.982798999999999867e-01
3.573395870000000230e+01	5.790926526024898990e+00	2.231104600000000104e+00	3.416918244808761163e+00	4.126658999999999744e-01	-3.212283000000000222e-01
3.864581520000000125e+01	5.786004314742598353e+00	2.222604299999999977e+00	3.386577834040848334e+00	5.966166999999999998e-01	-3.139804999999999957e-01
2.269427340000000015e+01	5.519888810914184596e+00	2.205819200000000091e+00	3.565945321893635445e+00	1.027552999999999939e+00	-3.340878999999999932e-01
4.505722180000000066e+01	5.492306900759015065e+00	2.193788500000000141e+00	3.586955884588073129e+00	2.588713000000000264e-01	-3.246808999999999945e-01
2.993791679999999999e+01	5.270072576659554642e+00	2.185324800000000067e+00	3.741322545520544107e+00	7.805809000000000220e-01	-3.763700999999999852e-01
3.711008410000000168e+01	5.055211863437595987e+00	2.171966400000000075e+00	3.888863777402733035e+00	3.721949999999999981e-01	-3.689376999999999795e-01
3.153371800000000036e+01	4.958800621742865289e+00	2.181859499999999841e+00	3.954283486914796697e+00	5.403217000000000159e-01	-3.633797000000000277e-01
4.141977609999999999e+01	4.875468799128636732e+00	2.195024399999999876e+00	4.020578747451666324e+00	3.401850000000000152e-01	-3.392317999999999723e-01
3.466176430000000153e+01	5.127907768190537396e+00	2.202931500000000042e+00	3.844879092259646747e+00	5.593586000000000391e-01	-3.543425000000000047e-01
3.352905359999999746e+01	5.108240250141847127e+00	2.156512600000000113e+00	3.842600680333626784e+00	6.360654999999999504e-01	-3.820836000000000232e-01
5.151322940000000017e+01	5.304952577065641606e+00	2.314788000000000068e+00	3.707048341822957394e+00	8.527089999999999670e-02	-1.124508000000000035e-01
2.307932029999999912e+01	5.206957183214146134e+00	2.192985800000000207e+00	3.766569635014574757e+00	9.722248999999999475e-01	-3.689658000000000104e-01
3.122632790000000114e+01	5.251634874816543785e+00	2.192122900000000207e+00	3.740664948116601440e+00	4.915328999999999948e-01	-3.591314999999999924e-01
5.497540200000000254e+01	4.646730076384179675e+00	2.334519999999999929e+00	4.219034817347612432e+00	5.651992999999999601e-01	-4.595700000000000306e-03
5.803017890000000278e+01	4.455865278351846648e+00	2.333657800000000115e+00	4.402759384791393060e+00	3.757201000000000013e-01	-4.401399999999999757e-03
4.954065349999999768e+01	4.705353103076897803e+00	2.326292800000000049e+00	4.177618108842274580e+00	6.885069999999999801e-01	4.982099999999999723e-03
5.291349600000000208e+01	4.893088822811632710e+00	2.353183000000000025e+00	4.013483199887781794e+00	5.565223999999999727e-01	3.326910000000000284e-02
2.239917930000000013e+01	5.675666338431668123e+00	2.233430600000000155e+00	3.467204404084718306e+00	1.153607899999999908e+00	-3.172499999999999765e-01
1.869851099999999988e+01	5.694761629429522465e+00	2.218978200000000012e+00	3.456921334149238856e+00	1.242394699999999963e+00	-3.290501000000000120e-01
2.040315710000000138e+01	5.496546156442083664e+00	2.208807900000000046e+00	3.583805807734881554e+00	1.102697599999999944e+00	-3.426120999999999750e-01
2.147001429999999900e+01	5.636982433795383329e+00	2.228401499999999924e+00	3.508482669516955088e+00	1.083181399999999961e+00	-3.407754000000000061e-01
2.350916439999999952e+01	5.548866302782018423e+00	2.208346800000000165e+00	3.546518500472377156e+00	9.490134000000000070e-01	-3.563236000000000181e-01
1.383557599999999965e+01	5.337142024084572611e+00	2.193935000000000191e+00	3.679480150252549819e+00	1.256491999999999942e+00	-3.432822999999999847e-01
1.613922880000000148e+01	5.284930080704119071e+00	2.179814299999999871e+00	3.717856353991943141e+00	1.212337599999999904e+00	-3.699459999999999971e-01
1.518849370000000043e+01	5.210813739166550995e+00	2.184026300000000198e+00	3.775681120763612952e+00	1.299000399999999944e+00	-3.846547000000000160e-01
2.071386000000000038e+01	4.929743791028917244e+00	2.184393099999999865e+00	3.991875809965796940e+00	1.237352299999999961e+00	-3.661844000000000210e-01
1.604094359999999853e+01	5.177025418922453603e+00	2.188544999999999963e+00	3.790180035384579593e+00	1.237352299999999961e+00	-3.635584000000000038e-01
