dist	chain	v1_end_time	f_lower	logll1	logl	loglh1	v1h1_delay	l1v1_delay	l1h1_delay	loglv1	m1	ra	l1_end_time	m2	iota	v1l1_delay	psi	post	cycle	mc	h1v1_delay	logprior	phi_orb	h1l1_delay	q	prior	h1_end_time	eta	time	cosiota	dec	
5.677326790000000045e+01	1.000000000000000000e+00	9.693797563723291159e+08	3.000000000000000000e+01	2.655500299999999925e+01	8.451438699999999926e+01	4.829536800000000341e+01	-2.260935306549072266e-02	2.541685104370117188e-02	2.807497978210449219e-03	9.664016000000000162e+00	4.724235933207197924e+00	2.345561700000000194e+00	9.693797563469122648e+08	4.154658900343665806e+00	3.813456000000000068e-01	-2.541685104370117188e-02	3.032359800000000050e+00	4.017875218069323726e+30	6.803000000000000000e+05	3.855213099999999837e+00	2.260935306549072266e-02	-1.404608200000000018e+01	2.957404499999999992e+00	-2.807497978210449219e-03	8.794351000000000251e-01	7.940797023052449506e-07	9.693797563497197628e+08	2.489712090803793965e-01	9.693797563636875153e+08	9.281646844052424683e-01	-3.631449999999999956e-02
4.500759209999999655e+01	1.000000000000000000e+00	9.693797563719269037e+08	3.000000000000000000e+01	2.538170300000000168e+01	8.277025399999999422e+01	4.794612200000000257e+01	-2.246475219726562500e-02	2.532649040222167969e-02	2.861738204956054688e-03	9.442429999999999879e+00	4.612365411461226472e+00	2.355688400000000016e+00	9.693797563466004133e+08	4.263745767910964268e+00	6.768108999999999931e-01	-2.532649040222167969e-02	2.881499600000000161e+00	7.073096088198149473e+29	6.821000000000000000e+05	3.859974699999999981e+00	2.246475219726562500e-02	-1.403898900000000083e+01	3.095794699999999899e+00	-2.861738204956054688e-03	9.244162999999999686e-01	7.997321322784971603e-07	9.693797563494621515e+08	2.496143456353865364e-01	9.693797563635193110e+08	7.795740450913268837e-01	-2.928040000000000156e-02
4.848259629999999731e+01	1.000000000000000000e+00	9.693797563727654219e+08	3.000000000000000000e+01	2.578414100000000175e+01	8.351312799999999470e+01	4.910874799999999851e+01	-2.286553382873535156e-02	2.545177936553955078e-02	2.586245536804199219e-03	8.620238999999999763e+00	4.807137232999619592e+00	2.330298400000000214e+00	9.693797563473136425e+08	4.082988638079387833e+00	6.887185999999999586e-01	-2.545177936553955078e-02	1.541377800000000020e+00	1.905011814084575175e+30	6.839000000000000000e+05	3.854226500000000222e+00	2.286553382873535156e-02	-1.379108800000000024e+01	5.825259800000000432e+00	-2.586245536804199219e-03	8.493597000000000508e-01	1.024723231381254825e-06	9.693797563498998880e+08	2.483412552038429533e-01	9.693797563642152548e+08	7.720610403317116344e-01	-1.611809999999999979e-02
6.157337960000000265e+01	1.000000000000000000e+00	9.693797563721867800e+08	3.000000000000000000e+01	2.700531600000000054e+01	8.382286100000000317e+01	4.810657799999999895e+01	-2.268493175506591797e-02	2.530193328857421875e-02	2.617001533508300781e-03	8.710967000000000127e+00	4.933434192904211812e+00	2.343407899999999877e+00	9.693797563468848467e+08	3.981461957365159510e+00	4.560867000000000115e-01	-2.530193328857421875e-02	1.626044599999999951e+00	3.057667010101427238e+30	6.857000000000000000e+05	3.853824100000000197e+00	2.268493175506591797e-02	-1.362765599999999999e+01	8.927329999999999988e-02	-2.617001533508300781e-03	8.070365999999999929e-01	1.206658003790039318e-06	9.693797563495018482e+08	2.471492705890881991e-01	9.693797563640652895e+08	8.977829341903844629e-01	1.598199999999999925e-03
4.858968990000000332e+01	1.000000000000000000e+00	9.693797563718187809e+08	3.000000000000000000e+01	2.581819499999999934e+01	7.962963700000000244e+01	4.614418599999999770e+01	-2.258682250976562500e-02	2.512407302856445312e-02	2.537250518798828125e-03	7.667256000000000071e+00	4.997343616482042172e+00	2.350566699999999898e+00	9.693797563466947079e+08	3.936369087157058022e+00	6.862523999999999846e-01	-2.512407302856445312e-02	1.558530999999999944e-01	4.239491768615143034e+28	6.875000000000000000e+05	3.855623500000000092e+00	2.258682250976562500e-02	-1.371281100000000031e+01	3.452176399999999923e+00	-2.537250518798828125e-03	7.876923000000000119e-01	1.108158421684689006e-06	9.693797563492319584e+08	2.464739703446395536e-01	9.693797563642383814e+08	7.736260802791637969e-01	3.193979999999999736e-02
4.710684239999999789e+01	1.000000000000000000e+00	9.693797563727983236e+08	3.000000000000000000e+01	2.700390600000000063e+01	8.394345500000000015e+01	4.794204899999999725e+01	-2.304184436798095703e-02	2.558052539825439453e-02	2.538681030273437500e-03	8.997500000000000497e+00	4.478068877184947283e+00	2.317048300000000172e+00	9.693797563472177982e+08	4.379126393150433394e+00	7.845881999999999579e-01	-2.558052539825439453e-02	2.182764000000000149e+00	2.666474559365150911e+30	6.893000000000000000e+05	3.855029500000000109e+00	2.304184436798095703e-02	-1.388514499999999963e+01	1.146351399999999909e+00	-2.538681030273437500e-03	9.779050999999999716e-01	9.327347261993640861e-07	9.693797563497564793e+08	2.499688029744411844e-01	9.693797563638678789e+08	7.076792797893707299e-01	-3.061770000000000116e-02
4.066124810000000167e+01	1.000000000000000000e+00	9.693797563724684715e+08	3.000000000000000000e+01	2.631840700000000055e+01	8.543716600000000483e+01	4.917380699999999649e+01	-2.277672290802001953e-02	2.548754215240478516e-02	2.710819244384765625e-03	9.944952000000000680e+00	4.442632706010466670e+00	2.334512500000000212e+00	9.693797563469809294e+08	4.422252572734914011e+00	8.014078999999999509e-01	-2.548754215240478516e-02	3.530877000000000043e-01	8.844114505631533789e+30	6.911000000000000000e+05	3.858653200000000005e+00	2.277672290802001953e-02	-1.417986100000000071e+01	4.018094800000000077e+00	-2.710819244384765625e-03	9.954125999999999808e-01	6.946477183226943242e-07	9.693797563496917486e+08	2.499986786806085159e-01	9.693797563636914492e+08	6.956960535406659929e-01	-3.569660000000000194e-02
5.433888489999999649e+01	1.000000000000000000e+00	9.693797563731750250e+08	3.000000000000000000e+01	2.670540300000000045e+01	8.346845500000000584e+01	4.884410199999999946e+01	-2.320611476898193359e-02	2.585065364837646484e-02	2.644538879394531250e-03	7.918949999999999712e+00	4.432570963408712927e+00	2.295274899999999896e+00	9.693797563473243713e+08	4.423780731931176824e+00	4.191900000000000071e-01	-2.585065364837646484e-02	8.809314999999999785e-01	1.240218049065769043e+30	6.929000000000000000e+05	3.854948700000000006e+00	2.320611476898193359e-02	-1.417561500000000052e+01	4.679048100000000154e+00	-2.644538879394531250e-03	9.980168999999999846e-01	6.976034631403006996e-07	9.693797563499689102e+08	2.499997537189917185e-01	9.693797563630417585e+08	9.134189267043593130e-01	-9.658890000000000531e-02
5.128725740000000144e+01	1.000000000000000000e+00	9.693797563726415634e+08	3.000000000000000000e+01	2.490031499999999909e+01	8.464674100000000578e+01	4.915762999999999749e+01	-2.295911312103271484e-02	2.575337886810302734e-02	2.794265747070312500e-03	1.058879600000000032e+01	4.432248759498752300e+00	2.312654300000000163e+00	9.693797563468881845e+08	4.430801187053900136e+00	1.752288999999999930e-01	-2.575337886810302734e-02	2.219675899999999924e+00	1.535968628216418764e+30	6.947000000000000000e+05	3.857866500000000087e+00	2.295911312103271484e-02	-1.514002699999999990e+01	1.453706200000000059e+00	-2.794265747070312500e-03	9.996734000000000453e-01	2.659315213078590065e-07	9.693797563496824503e+08	2.499999933310995681e-01	9.693797563627260923e+08	9.846866597551094946e-01	-9.680840000000000278e-02
4.303727260000000143e+01	1.000000000000000000e+00	9.693797563716351986e+08	3.000000000000000000e+01	2.700992300000000057e+01	8.323823000000000150e+01	4.731591099999999983e+01	-2.237606048583984375e-02	2.523672580718994141e-02	2.860665321350097656e-03	8.912395999999999319e+00	5.148480475617172480e+00	2.362454599999999960e+00	9.693797563463984728e+08	3.823206512452223205e+00	8.868460000000000232e-01	-2.523672580718994141e-02	2.289178900000000016e+00	1.595361266844419153e+30	6.965000000000000000e+05	3.853800899999999974e+00	2.237606048583984375e-02	-1.369357699999999944e+01	1.601112799999999892e+00	-2.860665321350097656e-03	7.425893000000000077e-01	1.129679041111546672e-06	9.693797563492591381e+08	2.445448950055127413e-01	9.693797563635027409e+08	6.318597761984998673e-01	-1.639919999999999919e-02
