simulation_id,mass,mchirp,distance
24673,3.3947269,1.4776346,79.954222
21766,2.2652571,0.98529501,135.66306
37075,3.366478,1.4642585,65.838834
2243,3.0476797,1.305508,92.858304
30805,3.0223521,1.2987794,91.836063
16532,2.6054743,1.1194567,135.44632
47458,2.2983397,0.99416368,47.434434
4811,3.1423922,1.3671853,91.768603
26023,2.7958708,1.2033677,109.35127
40457,2.6905009,1.1538809,109.89174
34965,3.6921292,1.6059654,108.00461
40300,3.4788221,1.5128913,86.913127
7714,3.1471002,1.3657739,144.02664
32177,3.2393309,1.4099667,145.34513
43212,2.6504204,1.1372335,53.024963
48944,3.3988861,1.4615249,125.16714
42423,2.9735977,1.2799933,137.75866
10216,2.3178761,1.0083524,149.15581
49335,3.6591475,1.5901836,135.72906
39151,2.6308417,1.1387582,138.18269
28169,3.3054002,1.4162546,73.809845
7203,2.7284329,1.1612154,132.96448
43017,2.5422531,1.0963293,64.094172
26608,3.1972184,1.34702,70.045192
21269,2.8481189,1.1757033,144.69143
6113,3.2155416,1.3994318,128.12982
10900,3.0779972,1.333767,115.57731
48149,3.0436573,1.2767489,114.25747
10308,3.6877399,1.605178,147.99891
351,3.9619381,1.724447,107.02718
33719,2.8608132,1.2210988,115.44281
5307,3.390305,1.4738569,84.337097
41251,3.0314558,1.2725721,123.3065
35456,3.2721879,1.4224226,50.579558
43379,3.0831838,1.3276633,80.234699
37557,2.3861948,1.0380446,130.46117
43633,3.1369039,1.3168918,145.51917
48708,3.8538626,1.6773736,75.46267
5946,3.39211,1.4570986,134.16572
36991,3.5390456,1.5251388,108.97265
6569,2.557943,1.1045871,141.48468
474,2.9610916,1.2085148,137.80828
3996,3.0538239,1.3241037,130.98428
12286,2.8907843,1.246843,122.77937
21977,3.2856639,1.4267757,132.33846
9981,3.7654769,1.6384654,127.1921
36528,3.1785046,1.3620651,92.110632
38284,3.3337456,1.4489719,103.82094
44329,2.9819821,1.2902563,117.2518
50370,3.0273142,1.3116671,123.63279
36981,3.0451691,1.2734013,80.551608
34592,3.1090313,1.3219979,135.82638
35217,2.8556114,1.2360959,132.90419
6627,3.3563405,1.449179,148.67432
855,2.6000387,1.1302021,138.81443
5391,3.401529,1.4723089,144.24265
43724,3.5483998,1.5352755,89.24799
49789,3.6404943,1.5802595,76.740895
26053,2.9669874,1.2555513,136.33087
22440,3.0110737,1.310128,64.753323
29809,3.3896837,1.4707633,112.9048
24240,3.2176204,1.3610574,144.79746
9515,3.2205479,1.3933282,36.105591
14855,3.3103978,1.4344905,129.71576
6731,3.3988679,1.4658382,112.10366
20394,2.8508941,1.2350399,147.72221
50061,2.8674067,1.2477267,142.95435
3487,3.0190052,1.313364,83.479551
26371,3.647663,1.5838047,131.94227
20311,3.5880233,1.5525875,143.17402
4196,3.8067004,1.6568497,134.54663
49112,3.1917929,1.3590411,141.20945
14062,3.3996446,1.4792751,119.59003
15633,2.7266969,1.1852979,116.96657
7358,2.4808602,1.0789633,110.45738
38148,3.4671851,1.5078634,144.21691
16331,2.7852285,1.2095565,69.245696
20635,3.475502,1.5116776,130.02136
49238,2.82433,1.2273634,122.94162
41484,2.1391343,0.9301363,138.55403
14188,2.6883587,1.1594484,146.40334
21106,2.3248157,1.0105327,144.30649
47139,3.4457297,1.4940485,144.6123
14167,3.0600787,1.3260847,77.386314
49638,3.1263229,1.3607044,99.042429
44708,2.6816303,1.14596,138.57674
34110,2.9891652,1.2686603,143.78289
21337,3.1088569,1.3100834,147.15843
13914,2.2766021,0.99042876,137.73392
11233,3.3961202,1.4736196,124.07057
42036,3.3964274,1.4757068,146.7805
47557,2.8972918,1.2553982,77.605626
5842,2.5589755,1.1112433,148.36854
10064,2.5868908,1.1149892,49.121667
3801,3.5405906,1.5270569,100.95965
28152,3.7249786,1.6204467,141.50272
32307,2.7426452,1.1857565,143.43119
41304,3.1394861,1.3626397,108.67073
10994,3.4993667,1.5162233,112.5129
26818,3.4715442,1.5054896,123.46467
37237,3.3941763,1.4741504,78.880156
7785,3.3977599,1.4682175,69.868945
16755,3.1864699,1.3862525,130.89202
40184,3.1513374,1.3678667,94.515383
49649,2.9692975,1.233959,80.59863
23808,2.5403713,1.083864,97.041857
550,2.3665874,1.025708,111.19612
45633,3.6712641,1.5912266,141.48202
14884,3.4755762,1.4986791,141.0384
5115,3.2929752,1.4327707,104.63859
38388,3.1372977,1.3034395,88.396736
12276,3.2326195,1.3970295,140.57655
681,3.0158822,1.2905604,64.56697
16374,3.2486491,1.4072238,83.659307
33555,3.2505379,1.4139665,26.28558
39072,2.3865875,1.0381433,54.824053
24761,3.0430519,1.3236611,83.671589
14076,3.2879081,1.431145,84.477701
40481,2.7798993,1.1993339,143.41705
27420,3.8163357,1.6606252,145.54988
15108,3.9566046,1.7221704,133.2981
46458,2.7391883,1.1492835,33.724971
7983,3.935242,1.7126636,138.30936
48840,2.4310864,1.0485447,130.99343
23125,3.7331137,1.6227876,99.791161
42323,3.2504456,1.4127109,137.46155
6317,2.5549009,1.1090298,71.539149
31032,2.4790046,1.0777824,122.81916
25754,3.4645509,1.500081,66.336985
43677,2.2644519,0.97895298,70.780237
1852,3.639805,1.5829666,128.53956
7123,2.5717736,1.1111574,137.16309
49127,3.3642,1.4538825,47.976338
25173,3.3953459,1.4670927,102.83726
3948,3.3779111,1.4604542,145.452
38938,2.1304172,0.92615658,92.914908
15970,2.7816682,1.2100087,139.53533
296,2.3264386,1.0014127,123.27755
17488,2.4240545,1.0536494,142.9577
11456,2.902758,1.2566318,59.20316
24160,3.1797318,1.3411112,117.51095
50280,3.6148387,1.5723096,120.98036
45205,2.9539401,1.2165977,130.19292
7329,2.9492936,1.2211177,102.37751
37622,2.8044405,1.214477,132.33927
5146,2.1969732,0.95625393,44.396056
14943,3.2602569,1.41716,131.61545
36570,2.6943995,1.1723818,94.615436
35871,2.8122716,1.2150236,101.37255
19724,2.9493717,1.2244975,115.64144
14012,2.6473084,1.1471335,64.423946
25608,3.0372397,1.3141278,141.19225
7862,3.5752689,1.5479052,122.17252
39597,2.6327087,1.1128468,95.798761
13308,2.4303472,1.0566741,124.98822
13105,2.8031889,1.1985043,143.80523
24773,3.2143055,1.3634226,112.5997
41508,2.7968285,1.2173224,119.3248
44346,2.9695989,1.2677573,57.415138
51361,3.1762524,1.3733777,129.46857
8687,2.6902192,1.1707108,120.16935
33217,3.6117777,1.5661163,120.09414
50507,2.820873,1.1685813,50.191192
30981,3.432065,1.4871498,108.41905
16918,3.0748944,1.3228226,131.04539
43580,3.9235796,1.7078346,91.792927
22917,3.2649465,1.4211028,128.6233
45855,2.4881785,1.0726295,89.159863
23061,3.4714197,1.4923757,77.458943
10728,3.3062383,1.4139534,125.83191
3358,3.0943054,1.315174,146.97958
13121,3.5454582,1.5411132,122.52228
5002,3.7993471,1.652051,57.163643
30973,3.1493144,1.3623723,108.73438
22619,2.8276123,1.2289517,69.66998
26968,3.3871015,1.473925,127.1975
24539,3.5861952,1.5609813,95.050326
48306,2.0497333,0.89192581,142.34711
31974,3.029042,1.3153566,81.376855
7466,3.4561725,1.4912321,78.248754
28244,3.0888042,1.3176339,133.51729
28298,2.4886283,1.0829506,90.524749
33595,3.1712584,1.3364335,77.503523
9226,2.5523325,1.1005273,135.37832
36714,2.8663628,1.2322532,143.52638
26862,2.2833244,0.99308766,144.77495
3112,2.9619546,1.2379422,115.30261
35591,2.9689226,1.2687185,59.721848
19426,2.4783393,1.073766,126.22721
25622,3.2372858,1.3914597,56.238664
29074,2.5171284,1.0954244,90.986204
47695,3.4650611,1.5076027,109.4119
16205,3.2273318,1.3894651,122.18269
7673,3.3274519,1.4185174,98.877212
33976,3.3997217,1.4555167,76.984901
1325,3.341958,1.431203,122.40621
38080,2.6546119,1.1469024,133.99679
28619,2.8968014,1.2180746,115.26242
20501,2.8195502,1.2021474,93.31841
47118,3.6058914,1.5694057,103.94674
46356,3.0190361,1.2737089,135.39713
12663,2.6146409,1.1052257,132.26853
41553,3.0105051,1.2810417,104.24449
40691,2.4329134,1.0513115,118.64663
35476,3.4215365,1.4874013,147.65389
46765,3.6485205,1.5868569,143.39542
30828,2.9617302,1.2886912,74.73788
14146,3.136675,1.3527912,144.11823
48253,2.1954966,0.95563686,112.76297
39282,3.2057771,1.3747723,49.628763
1564,3.0843561,1.3352177,139.49637
8033,2.4190771,1.0378759,138.89759
25215,2.7768177,1.2060737,148.41223
41937,2.8761092,1.1984511,95.810839
42141,3.5529206,1.539801,143.16865
34950,3.2684992,1.4198401,114.3496
36657,2.4888949,1.0797644,76.999801
7921,3.4457541,1.4820498,139.3833
2775,3.6121197,1.57129,104.25753
43903,3.6754538,1.5975573,143.86767
21353,3.1185876,1.3252788,118.84433
