coinc_event_id,far,snr,mass,mchirp
120377,2.36652555526e-10,10.1087102417,3.49834299088,1.52075636387
96464,6.70971731727e-06,9.03061115475,3.27944600582,1.31368339062
139507,0.0707095806002,6.84639223571,3.86783194542,1.68123030663
53747,0.0777696307188,6.87064779476,2.5790719986,1.1214029789
75312,0.0186155112614,7.41723795979,2.94150400162,1.22027730942
59902,1.45227581051,6.10879731421,2.71206998825,1.16511487961
57851,0.00995592884879,7.04984199224,2.52443301678,1.08417987823
150584,0.115973702391,6.7043235532,3.94647097588,1.5537378788
32243,0.0691481952941,6.80637482437,2.38411355019,1.01622331142
66836,0.111404612483,6.74173465168,3.26813292503,1.27879464626
53110,0.788869296624,6.07962574093,2.71645307541,1.18109357357
99592,5.93718440708e-05,8.18302765,3.08889305592,1.34289777279
71009,0.0066920335885,7.3982319322,2.7561839819,1.19725036621
48320,0.0269420951719,7.02851022788,2.58898496628,1.1257083416
59603,0.498155186293,6.04044781831,2.45604705811,1.06794452667
98122,1.87052777108e-13,11.2629534854,3.34672498703,1.38754427433
150476,0.170531841897,6.38563350251,4.0,1.57910430431
102882,1.54455443343,6.59398326146,3.56779301167,1.37442398071
51929,3.59652044728,6.18055929276,2.70157599449,1.12996661663
145153,0.466725977037,6.42307064667,3.70772790909,1.58939647675
69458,2.19484245079,5.88872634397,2.92114603519,1.20711898804
75989,0.228990923227,6.75355095139,3.00961303711,1.3084564209
36850,0.203894105187,6.63843105008,2.07945841551,0.894044220448
109610,2.08423671789e-13,11.293038412,3.30329692364,1.41464054585
50023,1.32269928454,6.69635371719,2.88246846199,1.16920399666
80794,0.00761393121841,7.28791362601,3.02903497219,1.23345446587
99954,2.86900782825e-07,9.30706201001,3.14788103104,1.36108934879
63319,0.979220754732,6.63556174382,2.6247420311,1.10336315632
42774,0.136564907703,6.58360283046,2.73490297794,1.18165683746
140999,8.81403275047e-08,9.68943077465,3.79350197315,1.61161160469
110361,1.19261246575e-07,9.7494232211,3.23330795765,1.40563321114
115546,1.50788321401,6.30696401667,3.58180010319,1.49408590794
80483,0.414775083018,6.67956509559,2.85461699963,1.23734486103
23985,0.100804332794,6.2917045028,2.352429986,1.0170532465
148295,0.0507384817723,6.39245987523,3.97094106674,1.72600889206
137967,3.74778235352e-08,9.91214692708,3.82256293297,1.55571508408
28938,0.0128404963653,7.04822917033,2.38611996174,1.03755903244
85907,8.9201654813e-12,10.9514733349,2.98780500889,1.26659166813
147345,9.30667994208e-14,12.353096317,3.61144995689,1.56161415577
47642,0.578425583744,6.77821337263,2.64013898373,1.14793610573
106699,0.00612382996952,7.66837135689,3.13765895367,1.36408174038
55904,0.0306578332212,7.42110490162,2.84180158377,1.15658724308
26717,0.23274218535,6.6476230108,2.46423065662,1.03925740719
137055,0.0112032845877,7.45991004893,3.73277795315,1.6225771904
138610,0.137393600648,6.71469749374,3.74034285545,1.61791491508
147496,1.47792300481,6.29861034829,3.98284804821,1.73117935658
